"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"209"	"Hordeum vulgare subsp. vulgare"	"Oryza glaberrima"	"Poaceae"	"41.5"	0.426338165456219	"112509"	"4538"	52209
"210"	"Hordeum vulgare subsp. vulgare"	"Oryza sativa Indica Group"	"Poaceae"	"41.5"	0.401467332222135	"112509"	"39946"	52235
"211"	"Hordeum vulgare subsp. vulgare"	"Oryza sativa Japonica Group"	"Poaceae"	"41.5"	0.397464453348731	"112509"	"39947"	52143
"212"	"Hordeum vulgare subsp. vulgare"	"Setaria italica"	"Poaceae"	"38.0"	0.401985171549487	"112509"	"4555"	52219
"213"	"Hordeum vulgare subsp. vulgare"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.44010563603999	"112509"	"4558"	52230
"214"	"Hordeum vulgare subsp. vulgare"	"Triticum aestivum"	"Poaceae"	"12.2"	0.173616967542258	"112509"	"4565"	52136
"215"	"Hordeum vulgare subsp. vulgare"	"Triticum urartu"	"Poaceae"	"12.2"	0.276946677984525	"112509"	"4572"	52255
"216"	"Hordeum vulgare subsp. vulgare"	"Zea mays"	"Poaceae"	"38.0"	0.439296356602612	"112509"	"4577"	52155
"217"	"Triticum urartu"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"12.2"	0.389494770536078	"4572"	"112509"	33096
"218"	"Triticum urartu"	"Oryza brachyantha"	"Poaceae"	"41.5"	0.55249107194741	"4572"	"4533"	33276
"219"	"Triticum urartu"	"Oryza glaberrima"	"Poaceae"	"41.5"	0.564512355831402	"4572"	"4538"	33253
"220"	"Triticum urartu"	"Oryza sativa Indica Group"	"Poaceae"	"41.5"	0.545298780004797	"4572"	"39946"	33262
"221"	"Triticum urartu"	"Oryza sativa Japonica Group"	"Poaceae"	"41.5"	0.534625745607313	"4572"	"39947"	33193
"222"	"Triticum urartu"	"Setaria italica"	"Poaceae"	"38.0"	0.545482832732176	"4572"	"4555"	33249
"223"	"Triticum urartu"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.569565355037724	"4572"	"4558"	33262
"224"	"Triticum urartu"	"Zea mays"	"Poaceae"	"38.0"	0.578161183052541	"4572"	"4577"	33202
"225"	"Oryza glaberrima"	"Brachypodium distachyon"	"Poaceae"	"41.5"	0.534803506609154	"4538"	"15368"	31729
"226"	"Oryza glaberrima"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"41.5"	0.550532167419912	"4538"	"112509"	31508
"227"	"Oryza glaberrima"	"Oryza brachyantha"	"Poaceae"	"15.0"	0.395310321526213	"4538"	"4533"	31737
"228"	"Oryza glaberrima"	"Oryza sativa Indica Group"	"Poaceae"	"0.6"	0.157232219150735	"4538"	"39946"	31756
"229"	"Oryza glaberrima"	"Oryza sativa Japonica Group"	"Poaceae"	"0.6"	0.096291479596381	"4538"	"39947"	31774
"230"	"Oryza glaberrima"	"Setaria italica"	"Poaceae"	"38.0"	0.524433742654303	"4538"	"4555"	31734
"231"	"Oryza glaberrima"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.555297926337185	"4538"	"4558"	31739
"232"	"Oryza glaberrima"	"Triticum aestivum"	"Poaceae"	"41.5"	0.530460913166234	"4538"	"4565"	31570
"233"	"Oryza glaberrima"	"Triticum urartu"	"Poaceae"	"41.5"	0.594852517892407	"4538"	"4572"	31760
"234"	"Oryza glaberrima"	"Zea mays"	"Poaceae"	"38.0"	0.560485760611632	"4538"	"4577"	31673
"235"	"Oryza brachyantha"	"Brachypodium distachyon"	"Poaceae"	"41.5"	0.504879882224443	"4533"	"15368"	31694
"236"	"Oryza brachyantha"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"41.5"	0.52623003654499	"4533"	"112509"	31392
"237"	"Oryza brachyantha"	"Oryza glaberrima"	"Poaceae"	"15.0"	0.395462332605045	"4533"	"4538"	31722
"238"	"Oryza brachyantha"	"Oryza sativa Indica Group"	"Poaceae"	"15.0"	0.372645277731492	"4533"	"39946"	31766
"239"	"Oryza brachyantha"	"Oryza sativa Japonica Group"	"Poaceae"	"15.0"	0.359887709315809	"4533"	"39947"	31657
"240"	"Oryza brachyantha"	"Setaria italica"	"Poaceae"	"38.0"	0.493311350444698	"4533"	"4555"	31669
"241"	"Oryza brachyantha"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.523494630454637	"4533"	"4558"	31721
"242"	"Oryza brachyantha"	"Triticum aestivum"	"Poaceae"	"41.5"	0.506519624851421	"4533"	"4565"	31473
"243"	"Oryza brachyantha"	"Triticum urartu"	"Poaceae"	"41.5"	0.56905871277698	"4533"	"4572"	31749
"244"	"Oryza brachyantha"	"Zea mays"	"Poaceae"	"38.0"	0.523464420171285	"4533"	"4577"	31604
"245"	"Setaria italica"	"Brachypodium distachyon"	"Poaceae"	"38.0"	0.51317664648224	"4555"	"15368"	38882
"246"	"Setaria italica"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"38.0"	0.527689201116624	"4555"	"112509"	38516
"247"	"Setaria italica"	"Oryza brachyantha"	"Poaceae"	"38.0"	0.496038303171375	"4555"	"4533"	38938
"248"	"Setaria italica"	"Oryza glaberrima"	"Poaceae"	"38.0"	0.5141636825444	"4555"	"4538"	38932
"249"	"Setaria italica"	"Oryza sativa Indica Group"	"Poaceae"	"38.0"	0.495271611021842	"4555"	"39946"	38903
"250"	"Setaria italica"	"Oryza sativa Japonica Group"	"Poaceae"	"38.0"	0.486570560985973	"4555"	"39947"	38714
"251"	"Setaria italica"	"Triticum aestivum"	"Poaceae"	"38.0"	0.505557987134512	"4555"	"4565"	38569
"252"	"Setaria italica"	"Triticum urartu"	"Poaceae"	"38.0"	0.566554057467659	"4555"	"4572"	38962
"253"	"Macaca mulatta"	"Callithrix jacchus"	"Primates"	"44.2"	0.193812137895133	"9544"	"9483"	35535
"254"	"Macaca mulatta"	"Gorilla gorilla gorilla"	"Primates"	"29.6"	0.171486832937464	"9544"	"9595"	35537
"255"	"Macaca mulatta"	"Homo sapiens"	"Primates"	"29.6"	0.137769704285542	"9544"	"9606"	35537
"256"	"Macaca mulatta"	"Macaca fascicularis"	"Primates"	"2.4"	0.171089428979578	"9544"	"9541"	35534
"257"	"Macaca mulatta"	"Nomascus leucogenys"	"Primates"	"29.6"	0.172016778807986	"9544"	"61853"	35533
"258"	"Macaca mulatta"	"Otolemur garnettii"	"Primates"	"77.5"	0.25840878469823	"9544"	"30611"	35532
"259"	"Macaca mulatta"	"Pan troglodytes"	"Primates"	"29.6"	0.168523813460362	"9544"	"9598"	35533
"260"	"Macaca mulatta"	"Pongo abelii"	"Primates"	"29.6"	0.159672467707146	"9544"	"9601"	35535
"261"	"Gorilla gorilla gorilla"	"Callithrix jacchus"	"Primates"	"44.2"	0.213713725599181	"9595"	"9483"	27228
"262"	"Gorilla gorilla gorilla"	"Homo sapiens"	"Primates"	"8.0"	0.128419469775598	"9595"	"9606"	27258
"263"	"Gorilla gorilla gorilla"	"Macaca fascicularis"	"Primates"	"29.6"	0.228641492079354	"9595"	"9541"	27219
"264"	"Gorilla gorilla gorilla"	"Macaca mulatta"	"Primates"	"29.6"	0.189080235455703	"9595"	"9544"	27238
"265"	"Gorilla gorilla gorilla"	"Nomascus leucogenys"	"Primates"	"18.8"	0.172402230749817	"9595"	"61853"	27213
"266"	"Gorilla gorilla gorilla"	"Otolemur garnettii"	"Primates"	"77.5"	0.276837249724369	"9595"	"30611"	27219
"267"	"Gorilla gorilla gorilla"	"Pan troglodytes"	"Primates"	"8.0"	0.143553940766877	"9595"	"9598"	27216
"268"	"Gorilla gorilla gorilla"	"Pongo abelii"	"Primates"	"15.1"	0.151853974846999	"9595"	"9601"	27235
"269"	"Homo sapiens"	"Callithrix jacchus"	"Primates"	"44.2"	0.156346079315447	"9606"	"9483"	67842
"270"	"Homo sapiens"	"Gorilla gorilla gorilla"	"Primates"	"8.0"	0.109681618051527	"9606"	"9595"	67840
"271"	"Homo sapiens"	"Macaca fascicularis"	"Primates"	"29.6"	0.187053735209077	"9606"	"9541"	67795
"272"	"Homo sapiens"	"Macaca mulatta"	"Primates"	"29.6"	0.134329761270765	"9606"	"9544"	67858
"273"	"Homo sapiens"	"Nomascus leucogenys"	"Primates"	"18.8"	0.126904754342236	"9606"	"61853"	67822
"274"	"Homo sapiens"	"Otolemur garnettii"	"Primates"	"77.5"	0.218230426389117	"9606"	"30611"	67780
"275"	"Homo sapiens"	"Pan troglodytes"	"Primates"	"6.1"	0.107893758394794	"9606"	"9598"	67831
"276"	"Homo sapiens"	"Pongo abelii"	"Primates"	"15.1"	0.114508827606997	"9606"	"9601"	67815
"277"	"Otolemur garnettii"	"Callithrix jacchus"	"Primates"	"77.5"	0.239876715029041	"30611"	"9483"	19930
"278"	"Otolemur garnettii"	"Gorilla gorilla gorilla"	"Primates"	"77.5"	0.241189263249189	"30611"	"9595"	19931
"279"	"Otolemur garnettii"	"Homo sapiens"	"Primates"	"77.5"	0.216942645978172	"30611"	"9606"	19931
"280"	"Otolemur garnettii"	"Macaca fascicularis"	"Primates"	"77.5"	0.272460923131202	"30611"	"9541"	19931
"281"	"Otolemur garnettii"	"Macaca mulatta"	"Primates"	"77.5"	0.239243244485912	"30611"	"9544"	19931
"282"	"Otolemur garnettii"	"Nomascus leucogenys"	"Primates"	"77.5"	0.242889496168116	"30611"	"61853"	19931
"283"	"Otolemur garnettii"	"Pan troglodytes"	"Primates"	"77.5"	0.235573263848706	"30611"	"9598"	19931
"284"	"Otolemur garnettii"	"Pongo abelii"	"Primates"	"77.5"	0.234105646689665	"30611"	"9601"	19931
"285"	"Pan troglodytes"	"Callithrix jacchus"	"Primates"	"44.2"	0.191642236970271	"9598"	"9483"	20122
"286"	"Pan troglodytes"	"Gorilla gorilla gorilla"	"Primates"	"8.0"	0.116245161101111	"9598"	"9595"	20123
"287"	"Pan troglodytes"	"Homo sapiens"	"Primates"	"6.1"	0.0902180358685192	"9598"	"9606"	20126
"288"	"Pan troglodytes"	"Macaca fascicularis"	"Primates"	"29.6"	0.202784581910712	"9598"	"9541"	20119
"289"	"Pan troglodytes"	"Macaca mulatta"	"Primates"	"29.6"	0.163735489505636	"9598"	"9544"	20123
"290"	"Pan troglodytes"	"Nomascus leucogenys"	"Primates"	"18.8"	0.139171716308514	"9598"	"61853"	20117
"291"	"Pan troglodytes"	"Otolemur garnettii"	"Primates"	"77.5"	0.255083714565911	"9598"	"30611"	20115
"292"	"Pan troglodytes"	"Pongo abelii"	"Primates"	"15.1"	0.128751198433812	"9598"	"9601"	20120
"293"	"Macaca fascicularis"	"Callithrix jacchus"	"Primates"	"44.2"	0.182425103050382	"9541"	"9483"	17389
"294"	"Macaca fascicularis"	"Gorilla gorilla gorilla"	"Primates"	"29.6"	0.147983004670472	"9541"	"9595"	17390
"295"	"Macaca fascicularis"	"Homo sapiens"	"Primates"	"29.6"	0.130101544469461	"9541"	"9606"	17391
"296"	"Macaca fascicularis"	"Macaca mulatta"	"Primates"	"2.4"	0.0945395764430365	"9541"	"9544"	17390
"297"	"Macaca fascicularis"	"Nomascus leucogenys"	"Primates"	"29.6"	0.155271547613904	"9541"	"61853"	17385
"298"	"Macaca fascicularis"	"Otolemur garnettii"	"Primates"	"77.5"	0.240433270236653	"9541"	"30611"	17385
"299"	"Macaca fascicularis"	"Pan troglodytes"	"Primates"	"29.6"	0.149922227241463	"9541"	"9598"	17383
"300"	"Macaca fascicularis"	"Pongo abelii"	"Primates"	"29.6"	0.145128917626138	"9541"	"9601"	17383
"301"	"Pongo abelii"	"Callithrix jacchus"	"Primates"	"44.2"	0.199667653671624	"9601"	"9483"	22835
"302"	"Pongo abelii"	"Gorilla gorilla gorilla"	"Primates"	"15.1"	0.143821507426043	"9601"	"9595"	22849
"303"	"Pongo abelii"	"Homo sapiens"	"Primates"	"15.1"	0.123122714877006	"9601"	"9606"	22849
"304"	"Pongo abelii"	"Macaca fascicularis"	"Primates"	"29.6"	0.210644438636816	"9601"	"9541"	22835
"305"	"Pongo abelii"	"Macaca mulatta"	"Primates"	"29.6"	0.168719806260953	"9601"	"9544"	22841
"306"	"Pongo abelii"	"Nomascus leucogenys"	"Primates"	"18.8"	0.157088279849988	"9601"	"61853"	22833
"307"	"Pongo abelii"	"Otolemur garnettii"	"Primates"	"77.5"	0.261180623322615	"9601"	"30611"	22827
"308"	"Pongo abelii"	"Pan troglodytes"	"Primates"	"15.1"	0.145202724384871	"9601"	"9598"	22828
"309"	"Nomascus leucogenys"	"Callithrix jacchus"	"Primates"	"44.2"	0.188022398270765	"61853"	"9483"	19733
"310"	"Nomascus leucogenys"	"Gorilla gorilla gorilla"	"Primates"	"18.8"	0.139928817069849	"61853"	"9595"	19733
"311"	"Nomascus leucogenys"	"Homo sapiens"	"Primates"	"18.8"	0.117869704766227	"61853"	"9606"	19733
"312"	"Nomascus leucogenys"	"Macaca fascicularis"	"Primates"	"29.6"	0.199861357561956	"61853"	"9541"	19733
"313"	"Nomascus leucogenys"	"Macaca mulatta"	"Primates"	"29.6"	0.162881927737076	"61853"	"9544"	19733
"314"	"Nomascus leucogenys"	"Otolemur garnettii"	"Primates"	"77.5"	0.249515633761496	"61853"	"30611"	19732
"315"	"Nomascus leucogenys"	"Pan troglodytes"	"Primates"	"18.8"	0.131029281330891	"61853"	"9598"	19733
"316"	"Nomascus leucogenys"	"Pongo abelii"	"Primates"	"18.8"	0.134031813857659	"61853"	"9601"	19733
"317"	"Callithrix jacchus"	"Gorilla gorilla gorilla"	"Primates"	"44.2"	0.180743240639177	"9483"	"9595"	42022
"318"	"Callithrix jacchus"	"Homo sapiens"	"Primates"	"44.2"	0.153942269896161	"9483"	"9606"	42024
"319"	"Callithrix jacchus"	"Macaca fascicularis"	"Primates"	"44.2"	0.224200870896378	"9483"	"9541"	42018
"320"	"Callithrix jacchus"	"Macaca mulatta"	"Primates"	"44.2"	0.179131706384553	"9483"	"9544"	42024
"321"	"Callithrix jacchus"	"Nomascus leucogenys"	"Primates"	"44.2"	0.178955261189373	"9483"	"61853"	42017
"322"	"Callithrix jacchus"	"Otolemur garnettii"	"Primates"	"77.5"	0.236556924964596	"9483"	"30611"	42010
"323"	"Callithrix jacchus"	"Pan troglodytes"	"Primates"	"44.2"	0.177229666936141	"9483"	"9598"	42012
"324"	"Callithrix jacchus"	"Pongo abelii"	"Primates"	"44.2"	0.172580006709866	"9483"	"9601"	42015
