"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"44"	"Drosophila grimshawi"	"Drosophila persimilis"	"Drosophila"	"39.2"	0.451063042094457	"7222"	"7234"	14720
"45"	"Drosophila grimshawi"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"39.2"	0.442873208210635	"7222"	"46245"	14709
"46"	"Drosophila grimshawi"	"Drosophila sechellia"	"Drosophila"	"39.2"	0.457781808180488	"7222"	"7238"	14732
"47"	"Drosophila grimshawi"	"Drosophila simulans"	"Drosophila"	"39.2"	0.478869453155906	"7222"	"7240"	14724
"48"	"Drosophila grimshawi"	"Drosophila virilis"	"Drosophila"	"32.2"	0.323431153975947	"7222"	"7244"	14719
"49"	"Drosophila grimshawi"	"Drosophila willistoni"	"Drosophila"	"39.2"	0.447431906004068	"7222"	"7260"	14710
"50"	"Drosophila grimshawi"	"Drosophila yakuba"	"Drosophila"	"39.2"	0.452165786151972	"7222"	"7245"	14728
"51"	"Drosophila mojavensis"	"Drosophila ananassae"	"Drosophila"	"39.2"	0.464831478203154	"7230"	"7217"	14477
"52"	"Drosophila mojavensis"	"Drosophila erecta"	"Drosophila"	"39.2"	0.469666253741083	"7230"	"7220"	14495
"53"	"Drosophila mojavensis"	"Drosophila grimshawi"	"Drosophila"	"32.2"	0.374865762699859	"7230"	"7222"	14448
"54"	"Drosophila mojavensis"	"Drosophila melanogaster"	"Drosophila"	"39.2"	0.466455457744054	"7230"	"7227"	14367
"55"	"Drosophila mojavensis"	"Drosophila persimilis"	"Drosophila"	"39.2"	0.468666411381107	"7230"	"7234"	14464
"56"	"Drosophila mojavensis"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"39.2"	0.460576651479001	"7230"	"46245"	14461
"57"	"Drosophila mojavensis"	"Drosophila sechellia"	"Drosophila"	"39.2"	0.473926013590825	"7230"	"7238"	14481
"58"	"Drosophila mojavensis"	"Drosophila simulans"	"Drosophila"	"39.2"	0.492853030311186	"7230"	"7240"	14481
"59"	"Drosophila mojavensis"	"Drosophila virilis"	"Drosophila"	"18.5"	0.310893671332344	"7230"	"7244"	14477
"60"	"Drosophila mojavensis"	"Drosophila willistoni"	"Drosophila"	"39.2"	0.463607170502667	"7230"	"7260"	14444
"61"	"Drosophila mojavensis"	"Drosophila yakuba"	"Drosophila"	"39.2"	0.467341201705022	"7230"	"7245"	14475
"62"	"Drosophila yakuba"	"Drosophila ananassae"	"Drosophila"	"44.2"	0.371553171493979	"7245"	"7217"	15938
"63"	"Drosophila yakuba"	"Drosophila erecta"	"Drosophila"	"10.4"	0.175359883468085	"7245"	"7220"	15938
"64"	"Drosophila yakuba"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.501248953307695	"7245"	"7222"	15917
"65"	"Drosophila yakuba"	"Drosophila melanogaster"	"Drosophila"	"5.6"	0.196518897633385	"7245"	"7227"	15859
"66"	"Drosophila yakuba"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.492810173807591	"7245"	"7230"	15924
